Timestamp,Roll,Roll_PID,Pitch,Pitch_PID,Motor_FL,Motor_FR,Motor_RL,Motor_RR,ROLL_P,ROLL_I,ROLL_D
22:55.2,100,0,25.00-0.16,-188354.28,1.05,110.16,0,1023,0,1023,
22:55.2,100,0,25.00-0.16,-18.83,1.01,102.09,83,120,0,0,
22:55.2,100,0,25.00-0.15,-19.89,0.97,100.04,80,119,0,0,
22:55.2,100,0,25.00-0.14,-17.95,0.93,94.68,76,112,0,0,
22:55.2,100,0,25.00-0.14,-17.57,0.89,92.07,74,109,0,0,
22:55.2,100,0,25.00-0.13,-16.73,0.86,83.86,67,100,0,0,
22:55.2,100,0,25.00-0.12,-17.69,0.82,84.89,67,102,0,0,
22:55.2,100,0,25.00-0.12,-15.85,0.79,79.2,63,95,0,0,
22:55.2,100,0,25.00-0.11,-15.18,0.76,76.98,61,92,0,0,
22:55.3,100,0,25.00-0.11,-14.28,0.73,73.53,59,87,0,0,
22:55.3,100,0,25.00-0.10,-13.79,0.7,70.21,56,83,0,0,
22:55.3,100,0,25.00-0.10,-13.38,0.68,65.47,52,78,0,0,
22:55.3,100,0,25.00-0.09,-13.47,0.65,65.97,52,79,0,0,
22:55.3,100,0,25.00-0.09,-12.61,0.63,62.63,50,75,0,0,
22:55.3,100,0,25.00-0.09,-13.3,0.6,60.99,47,74,0,0,
22:55.3,100,0,25.00-0.08,-12.14,0.58,55.92,43,68,0,0,
22:55.3,100,0,25.00-0.08,-12.14,0.56,55.04,42,67,0,0,
22:55.3,100,0,25.00-0.07,-11.86,0.54,50.07,38,61,0,0,
22:55.3,100,0,25.00-0.07,-10.34,0.52,48.71,38,59,0,0,
22:55.3,100,0,25.00-0.07,-9.64,0.5,46.77,37,56,0,0,
22:55.3,100,0,25.00-0.06,-10.49,0.48,47.44,36,57,0,0,
22:55.3,100,0,25.00-0.06,-9.45,0.46,43.84,34,53,0,0,
22:55.3,100,0,25.00-0.06,-9.03,0.44,42.55,33,51,0,0,
22:55.3,100,0,25.00-0.05,-9.38,0.43,39.77,30,49,0,0,
22:55.3,100,0,25.00-0.05,-8.38,0.41,39.07,30,47,0,0,
22:55.3,100,0,25.00-0.05,-8.81,0.39,36.12,27,44,0,0,
22:55.3,100,0,25.00-0.05,-7.37,0.38,35.38,28,42,0,0,
22:55.3,100,0,25.00-0.04,-7.69,0.36,33.27,25,40,0,0,
22:55.3,100,0,25.00-0.04,-7.98,0.35,33.43,25,41,0,0,
22:55.4,100,0,25.00-0.04,-6.22,0.34,30.53,24,36,0,0,
22:55.4,100,0,25.00-0.04,-6.72,0.33,29.6,22,36,0,0,
22:55.4,100,0,25.00-0.04,-6.16,0.31,28.47,22,34,0,0,
22:55.4,100,0,25.00-0.03,-6.39,0.3,25.72,19,32,0,0,
22:55.4,100,0,25.00-0.03,-6.58,0.29,27.53,20,34,0,0,
22:55.4,100,0,25.00-0.03,-5.36,0.28,25.4,20,30,0,0,
22:55.4,100,0,25.00-0.03,-5.87,0.27,23.35,17,29,0,0,
22:55.4,100,0,25.00-0.03,-6.08,0.26,22.48,16,28,0,0,
22:55.4,100,0,25.00-0.02,-6.15,0.25,21.77,15,27,0,0,
22:55.4,100,0,25.00-0.02,-5.61,0.24,20.37,14,25,0,0,
22:55.4,100,0,25.00-0.02,-5.18,0.23,19.66,14,24,0,0,
22:55.4,100,0,25.00-0.02,-4.92,0.23,19.03,14,23,0,0,
22:55.4,100,0,25.00-0.02,-5.19,0.22,18.21,13,23,0,0,
22:55.4,100,0,25.00-0.02,-4.54,0.21,17.91,13,22,0,0,
22:55.4,100,0,25.00-0.02,-5.17,0.2,16.13,10,21,0,0,
22:55.4,100,0,25.00-0.01,-3.82,0.2,15.16,11,18,0,0,
22:55.4,100,0,25.00-0.01,-5.09,0.19,14.45,9,19,0,0,
22:55.4,100,0,25.00-0.01,-3.38,0.18,12.83,9,16,0,0,
22:55.4,100,0,25.00-0.01,-5.32,0.18,13.23,7,18,0,0,
22:55.4,100,0,25.00-0.01,-4.49,0.17,12.64,8,17,0,0,
22:55.5,100,0,25.00-0.01,-3.48,0.16,11.71,8,15,0,0,
22:55.5,100,0,25.00-0.01,-4.06,0.16,11.88,7,15,0,0,
22:55.5,100,0,25.00-0.01,-4.43,0.15,11.14,6,15,0,0,
22:55.5,100,0,25.00-0.01,-3.6,0.15,10.46,6,14,0,0,
22:55.5,100,0,25.00-0.01,-4.18,0.14,10.58,6,14,0,0,
22:55.5,100,0,25.00-0.00,-4.33,0.14,10.99,6,15,0,0,
22:55.5,100,0,25.00-0.00,-3.28,0.13,9,5,12,0,0,
22:55.5,100,0,25.00-0.00,-4.01,0.13,8.83,4,12,0,0,
22:55.5,100,0,25.00-0.00,-2.57,0.13,6.48,3,9,0,0,
22:55.5,100,0,25.00-0.00,-4.16,0.12,7.84,3,12,0,0,
22:55.5,100,0,25.00-0.00,-3.03,0.12,5.93,2,8,0,0,
22:55.5,100,0,25.00-0.00,-3.94,0.11,7.33,3,11,0,0,
22:55.5,100,0,25.000.00,-2.14,0.11,7.36,5,9,0,0,
22:55.5,100,0,25.000.00,-2.94,0.11,7.47,4,10,0,0,
22:55.5,100,0,25.000.00,-2.63,0.1,5.5,2,8,0,0,
22:55.5,100,0,25.000.00,-2.04,0.1,5.68,3,7,0,0,
22:55.5,100,0,25.000.00,-3.49,0.1,5.08,1,8,0,0,
22:55.5,100,0,25.000.00,-2.34,0.09,4.95,2,7,0,0,
22:55.5,100,0,25.000.00,-3,0.09,4.15,1,7,0,0,
22:55.6,100,0,25.000.00,-2.69,0.09,4.87,2,7,0,0,
22:55.6,100,0,25.000.00,-3.49,0.09,2.69,0,6,0,0,
22:55.6,100,0,25.000.00,-2.21,0.08,3.43,1,5,0,0,
22:55.6,100,0,25.000.01,-2.26,0.08,2.86,0,5,0,0,
22:55.6,100,0,25.000.01,-2.45,0.08,2.93,0,5,0,0,
22:55.6,100,0,25.000.01,-2.95,0.08,3.57,0,6,0,0,
22:55.6,100,0,25.000.01,-2.34,0.08,2.58,0,4,0,0,
22:55.6,100,0,25.000.01,-3.05,0.07,1.92,0,4,0,1,
22:55.6,100,0,25.000.01,-3.06,0.07,2.29,0,5,0,0,
22:55.6,100,0,25.000.01,-1.84,0.07,2.42,0,4,0,0,
22:55.6,100,0,25.000.01,-1.62,0.07,2.1,0,3,0,0,
22:55.6,100,0,25.000.01,-3.74,0.07,2,0,5,0,1,
22:55.6,100,0,25.000.01,-1.57,0.07,1.12,0,2,0,0,
22:55.6,100,0,25.000.01,-1.57,0.06,1.13,0,2,0,0,
22:55.6,100,0,25.000.01,-1.47,0.06,0.69,0,2,0,0,
22:55.6,100,0,25.000.01,-2,0.06,0.28,0,2,0,1,
22:55.6,100,0,25.000.01,-2.91,0.06,1.28,0,4,0,1,
22:55.6,100,0,25.000.01,-1.52,0.06,1.06,0,2,0,0,
22:55.6,100,0,25.000.01,-1.7,0.06,0.23,0,1,0,1,
22:55.6,100,0,25.000.01,-3.26,0.06,1.14,0,4,0,2,
22:55.7,100,0,25.000.01,-0.31,0.05,0.14,0,0,0,0,
22:55.7,100,0,25.000.01,-1.78,0.05,-0.37,0,1,0,2,
22:55.7,100,0,25.000.01,-2.1,0.05,0.96,0,3,0,1,
22:55.7,100,0,25.000.01,-2.29,0.05,-0.2,0,2,0,2,
22:55.7,100,0,25.000.01,-2.39,0.05,0.63,0,3,0,1,
22:55.7,100,0,25.000.01,-1.72,0.05,0.88,0,2,0,0,
22:55.7,100,0,25.000.01,-2.18,0.05,0.3,0,2,0,1,
22:55.7,100,0,25.000.01,-1.32,0.05,-1.29,0,0,0,2,
22:55.7,100,0,25.000.01,-1.96,0.05,0.46,0,2,0,1,
22:55.7,100,0,25.000.01,-0.79,0.05,-0.28,0,0,0,1,
22:55.7,100,0,25.000.01,-1.75,0.04,-1.03,0,0,0,2,
22:55.7,100,0,25.000.01,-1.69,0.04,-0.38,0,1,0,2,
22:55.7,100,0,25.000.01,-1.85,0.04,-0.6,0,1,0,2,
22:55.7,100,0,25.000.01,-1.8,0.04,-0.41,0,1,0,2,
22:55.7,100,0,25.000.01,-1.34,0.04,-1.05,0,0,0,2,
22:55.7,100,0,25.000.01,-2.66,0.04,-1.17,0,1,0,3,
22:55.7,100,0,25.000.01,-2.3,0.04,-1.15,0,1,0,3,
22:55.7,100,0,25.000.01,-1.67,0.04,-2.43,0,0,0,4,
22:55.7,100,0,25.000.01,-1.81,0.04,-1,0,0,0,2,
22:55.7,100,0,25.000.01,-0.9,0.04,-0.72,0,0,0,1,
22:55.8,100,0,25.000.01,-2.2,0.04,-0.1,0,2,0,2,
22:55.8,100,0,25.000.01,-1.85,0.04,-1.34,0,0,0,3,
22:55.8,100,0,25.000.01,-1.61,0.04,-0.88,0,0,0,2,
22:55.8,100,0,25.000.01,-2.51,0.04,-0.69,0,1,0,3,
22:55.8,100,0,25.000.01,-1.76,0.04,-1.51,0,0,0,3,
22:55.8,100,0,25.000.01,-2.1,0.04,-1.99,0,0,0,4,
22:55.8,100,0,25.000.01,-2.32,0.04,-1.78,0,0,0,4,
22:55.8,100,0,25.000.01,-0.92,0.04,-2.3,0,0,1,3,
22:55.8,100,0,25.000.01,-1.48,0.03,-1.63,0,0,0,3,
22:55.8,100,0,25.000.01,-1.52,0.03,-1.4,0,0,0,2,
22:55.8,100,0,25.000.01,-1.82,0.03,-2.06,0,0,0,3,
22:55.8,100,0,25.000.01,-1.74,0.03,-2.35,0,0,0,4,
22:55.8,100,0,25.000.01,-2.28,0.03,-2.57,0,0,0,4,
22:55.8,100,0,25.000.01,-1.56,0.03,-2.22,0,0,0,3,
22:55.8,100,0,25.000.01,-1.73,0.03,-2.28,0,0,0,4,
22:55.8,100,0,25.000.01,-2.02,0.03,-1.74,0,0,0,3,
22:55.8,100,0,25.000.01,-1.72,0.03,-0.57,0,1,0,2,
22:55.8,100,0,25.000.01,-2.23,0.03,-1.77,0,0,0,3,
22:55.8,100,0,25.000.01,-1.86,0.03,-1.98,0,0,0,3,
22:55.8,100,0,25.000.01,-2.21,0.03,-1.72,0,0,0,3,
22:55.9,100,0,25.000.01,-1.56,0.03,-2.62,0,0,1,4,
22:55.9,100,0,25.000.01,-1.06,0.03,-2.3,0,0,1,3,
